,cpufreq,uncore_min,uncore_max,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
1882,1200000,15,15,93,65,830,690,4,0.6,20,68,42,108,8,13,320,8,5,1,0.7999999999999999,0,0,0.8999999999999999
1883,1200000,30,30,62,97,640,920,5,0.7,32,108,112,112,9,18,500,5,4,0,0.5,1,1,0.7
1884,1800000,30,30,76,105,440,450,2,0.5,4,62,88,60,9,9,440,10,8,1,0.6,1,1,0.7999999999999999
1885,1800000,20,20,82,108,130,860,1,1.0,52,60,108,50,10,14,320,2,2,1,0.7999999999999999,1,1,0.6
1886,1200000,30,30,37,73,110,220,3,1.0,26,42,114,106,13,11,120,8,7,0,0.8999999999999999,0,0,1.0
1887,1800000,10,10,31,62,770,130,1,1.0,34,84,120,46,12,17,200,6,5,1,0.6,1,0,0.7
1888,1800000,20,20,99,49,520,170,2,0.7,44,38,108,40,11,14,20,2,6,1,0.5,0,1,0.7999999999999999
1889,3000000,10,10,104,48,290,420,5,0.8999999999999999,52,80,24,128,13,10,240,1,4,1,0.7,0,1,0.7
1890,3000000,15,15,94,93,400,340,1,0.7999999999999999,58,36,34,114,13,13,160,8,1,1,0.8999999999999999,0,1,0.7999999999999999
1891,1200000,30,30,25,86,470,500,4,0.7,18,68,58,90,11,10,280,10,4,0,0.7999999999999999,0,0,0.5
1892,1200000,30,30,39,96,930,910,1,0.8999999999999999,16,114,128,124,11,9,460,7,5,0,0.7,0,0,0.8999999999999999
1893,2400000,15,15,65,80,570,150,4,0.7,42,91,116,64,12,12,440,10,6,0,0.7,1,0,0.5
1894,3000000,15,15,42,99,750,830,2,0.5,40,75,124,26,10,9,260,4,8,0,0.8999999999999999,0,0,0.6
1895,3000000,10,10,94,35,410,540,2,0.5,62,91,54,58,10,12,120,1,5,0,0.6,0,0,1.0
1896,1200000,15,15,66,31,990,250,3,1.0,18,85,70,110,9,8,200,2,6,0,0.7999999999999999,1,1,1.0
1897,2400000,10,10,37,96,700,460,3,0.8999999999999999,56,85,44,114,9,12,340,2,6,0,0.6,0,1,0.6
1898,3000000,15,15,105,31,890,200,5,0.7999999999999999,26,38,70,120,14,8,220,4,3,1,0.6,0,1,0.8999999999999999
1899,3000000,30,30,127,57,660,460,4,1.0,52,30,78,80,12,11,20,4,2,1,0.7999999999999999,1,0,0.8999999999999999
1900,2400000,15,15,33,71,770,490,4,0.5,14,100,106,80,12,11,440,2,1,1,0.8999999999999999,0,1,0.7999999999999999
